;Equipos;Puntos;fixture;season
167;A. Italiano;16;10;2020
168;Curico Unido;16;10;2020
169;Palestino;16;10;2020
170;Huachipato;14;10;2020
171;Cobresal;13;10;2020
172;Everton de Vina;11;10;2020
173;Deportes Iquique;11;10;2020
174;Santiago Wanderers;10;10;2020
175;O'Higgins;8;10;2020
176;Coquimbo Unido;8;10;2020
177;Colo Colo;8;10;2020
178;Universidad de Concepcion;8;10;2020
179;D. La Serena;5;10;2020
180;U. Catolica;28;11;2020
181;Universidad de Chile;22;11;2020
182;Union La Calera;21;11;2020
183;Antofagasta;20;11;2020
184;Union Espanola;20;11;2020
185;Curico Unido;19;11;2020
186;Palestino;19;11;2020
187;A. Italiano;16;11;2020
188;Huachipato;14;11;2020
189;Everton de Vina;14;11;2020
190;Santiago Wanderers;13;11;2020
191;Cobresal;13;11;2020
192;Deportes Iquique;11;11;2020
193;Universidad de Concepcion;11;11;2020
194;Colo Colo;9;11;2020
195;O'Higgins;8;11;2020
196;Coquimbo Unido;8;11;2020
197;D. La Serena;5;11;2020
198;U. Catolica;29;12;2020
199;Union La Calera;24;12;2020
200;Union Espanola;23;12;2020
201;Universidad de Chile;22;12;2020
202;Antofagasta;20;12;2020
203;Curico Unido;20;12;2020
204;Palestino;19;12;2020
205;A. Italiano;17;12;2020
206;Cobresal;16;12;2020
207;Huachipato;15;12;2020
208;Everton de Vina;15;12;2020
209;Santiago Wanderers;13;12;2020
210;Colo Colo;12;12;2020
211;O'Higgins;11;12;2020
212;Deportes Iquique;11;12;2020
213;Coquimbo Unido;11;12;2020
214;Universidad de Concepcion;11;12;2020
215;D. La Serena;6;12;2020
216;U. Catolica;32;13;2020
217;Union La Calera;27;13;2020
218;Union Espanola;26;13;2020
219;Antofagasta;23;13;2020
220;Universidad de Chile;22;13;2020
221;Curico Unido;20;13;2020
222;Palestino;19;13;2020
223;Huachipato;18;13;2020
224;Everton de Vina;18;13;2020
225;A. Italiano;17;13;2020
226;Santiago Wanderers;16;13;2020
227;Cobresal;16;13;2020
228;Coquimbo Unido;14;13;2020
229;Universidad de Concepcion;14;13;2020
230;Colo Colo;12;13;2020
231;O'Higgins;11;13;2020
232;Deportes Iquique;11;13;2020
233;D. La Serena;6;13;2020
234;U. Catolica;33;14;2020
235;Union La Calera;30;14;2020
236;Union Espanola;29;14;2020
237;Universidad de Chile;25;14;2020
238;Antofagasta;24;14;2020
239;Curico Unido;20;14;2020
240;Huachipato;19;14;2020
241;Palestino;19;14;2020
242;Cobresal;19;14;2020
243;Everton de Vina;19;14;2020
244;Santiago Wanderers;17;14;2020
245;A. Italiano;17;14;2020
246;Coquimbo Unido;15;14;2020
247;Universidad de Concepcion;15;14;2020
248;Deportes Iquique;14;14;2020
249;Colo Colo;13;14;2020
250;O'Higgins;11;14;2020
251;D. La Serena;6;14;2020
252;Union La Calera;33;15;2020
253;U. Catolica;33;15;2020
254;Union Espanola;32;15;2020
255;Antofagasta;27;15;2020
256;Universidad de Chile;25;15;2020
257;Curico Unido;23;15;2020
258;Huachipato;22;15;2020
259;A. Italiano;20;15;2020
260;Everton de Vina;19;15;2020
261;Palestino;19;15;2020
262;Cobresal;19;15;2020
263;Coquimbo Unido;18;15;2020
264;Santiago Wanderers;17;15;2020
265;Universidad de Concepcion;16;15;2020
266;Deportes Iquique;15;15;2020
267;Colo Colo;13;15;2020
268;O'Higgins;11;15;2020
269;D. La Serena;9;15;2020
270;Union La Calera;36;16;2020
271;U. Catolica;36;16;2020
272;Union Espanola;35;16;2020
273;Antofagasta;27;16;2020
274;Universidad de Chile;26;16;2020
275;Curico Unido;24;16;2020
276;Huachipato;22;16;2020
277;A. Italiano;21;16;2020
278;Everton de Vina;20;16;2020
279;Santiago Wanderers;20;16;2020
280;Palestino;19;16;2020
281;Cobresal;19;16;2020
282;Universidad de Concepcion;19;16;2020
283;Deportes Iquique;18;16;2020
284;Coquimbo Unido;18;16;2020
285;Colo Colo;14;16;2020
286;O'Higgins;12;16;2020
287;D. La Serena;9;16;2020
288;U. Catolica;39;17;2020
289;Union La Calera;36;17;2020
290;Union Espanola;36;17;2020
291;Antofagasta;30;17;2020
292;Curico Unido;27;17;2020
293;Universidad de Chile;26;17;2020
294;Huachipato;25;17;2020
295;Everton de Vina;23;17;2020
296;Universidad de Concepcion;22;17;2020
297;Cobresal;22;17;2020
298;Deportes Iquique;21;17;2020
299;A. Italiano;21;17;2020
300;Santiago Wanderers;20;17;2020
301;Palestino;19;17;2020
302;Coquimbo Unido;19;17;2020
303;Colo Colo;14;17;2020
304;O'Higgins;12;17;2020
305;D. La Serena;9;17;2020
306;U. Catolica;42;18;2020
307;Union Espanola;39;18;2020
308;Union La Calera;36;18;2020
309;Antofagasta;30;18;2020
310;Curico Unido;30;18;2020
311;Universidad de Chile;29;18;2020
312;Huachipato;25;18;2020
313;Universidad de Concepcion;25;18;2020
314;A. Italiano;24;18;2020
315;Everton de Vina;23;18;2020
316;Palestino;22;18;2020
317;Cobresal;22;18;2020
318;Deportes Iquique;21;18;2020
319;Santiago Wanderers;20;18;2020
320;Coquimbo Unido;19;18;2020
321;O'Higgins;15;18;2020
322;Colo Colo;14;18;2020
323;D. La Serena;12;18;2020
324;U. Catolica;42;19;2020
325;Union La Calera;39;19;2020
326;Union Espanola;39;19;2020
327;Antofagasta;31;19;2020
328;Curico Unido;31;19;2020
329;Universidad de Chile;29;19;2020
330;Huachipato;26;19;2020
331;Universidad de Concepcion;26;19;2020
332;Everton de Vina;24;19;2020
333;A. Italiano;24;19;2020
334;Santiago Wanderers;23;19;2020
335;Deportes Iquique;22;19;2020
336;Palestino;22;19;2020
337;Coquimbo Unido;22;19;2020
338;Cobresal;22;19;2020
339;O'Higgins;18;19;2020
340;Colo Colo;17;19;2020
341;D. La Serena;15;19;2020
342;U. Catolica;45;20;2020
343;Union La Calera;42;20;2020
344;Union Espanola;39;20;2020
345;Curico Unido;34;20;2020
346;Antofagasta;31;20;2020
347;Universidad de Chile;30;20;2020
348;Huachipato;29;20;2020
349;Universidad de Concepcion;26;20;2020
350;Everton de Vina;25;20;2020
351;A. Italiano;25;20;2020
352;Santiago Wanderers;24;20;2020
353;Deportes Iquique;23;20;2020
354;Cobresal;23;20;2020
355;Palestino;22;20;2020
356;Coquimbo Unido;22;20;2020
357;O'Higgins;21;20;2020
358;D. La Serena;18;20;2020
359;Colo Colo;17;20;2020
360;U. Catolica;46;21;2020
361;Union La Calera;45;21;2020
362;Union Espanola;40;21;2020
363;Curico Unido;37;21;2020
364;Antofagasta;32;21;2020
365;Universidad de Chile;31;21;2020
366;Huachipato;30;21;2020
367;Universidad de Concepcion;27;21;2020
368;Everton de Vina;25;21;2020
369;Santiago Wanderers;25;21;2020
370;A. Italiano;25;21;2020
371;Cobresal;24;21;2020
372;Deportes Iquique;23;21;2020
373;Palestino;23;21;2020
374;Coquimbo Unido;23;21;2020
375;O'Higgins;22;21;2020
376;D. La Serena;21;21;2020
377;Colo Colo;18;21;2020
378;U. Catolica;47;22;2020
379;Union La Calera;45;22;2020
380;Union Espanola;41;22;2020
381;Curico Unido;37;22;2020
382;Antofagasta;35;22;2020
383;Universidad de Chile;34;22;2020
384;Huachipato;30;22;2020
385;Everton de Vina;28;22;2020
386;Universidad de Concepcion;27;22;2020
387;Cobresal;27;22;2020
388;Palestino;26;22;2020
389;Santiago Wanderers;26;22;2020
390;O'Higgins;25;22;2020
391;A. Italiano;25;22;2020
392;Deportes Iquique;24;22;2020
393;D. La Serena;24;22;2020
394;Coquimbo Unido;23;22;2020
395;Colo Colo;18;22;2020
396;U. Catolica;47;23;2020
397;Union La Calera;45;23;2020
398;Union Espanola;41;23;2020
399;Antofagasta;38;23;2020
400;Curico Unido;37;23;2020
401;Universidad de Chile;35;23;2020
402;Huachipato;30;23;2020
403;Universidad de Concepcion;30;23;2020
404;Cobresal;30;23;2020
405;Palestino;29;23;2020
406;Santiago Wanderers;29;23;2020
407;Everton de Vina;28;23;2020
408;O'Higgins;28;23;2020
409;D. La Serena;27;23;2020
410;Deportes Iquique;25;23;2020
411;A. Italiano;25;23;2020
412;Coquimbo Unido;23;23;2020
413;Colo Colo;21;23;2020
414;U. Catolica;47;24;2020
415;Union La Calera;46;24;2020
416;Union Espanola;44;24;2020
417;Antofagasta;38;24;2020
418;Curico Unido;37;24;2020
419;Universidad de Chile;36;24;2020
420;Huachipato;33;24;2020
421;Palestino;32;24;2020
422;O'Higgins;31;24;2020
423;Cobresal;31;24;2020
424;Universidad de Concepcion;30;24;2020
425;Santiago Wanderers;29;24;2020
426;Everton de Vina;28;24;2020
427;Deportes Iquique;28;24;2020
428;D. La Serena;28;24;2020
429;A. Italiano;28;24;2020
430;Colo Colo;24;24;2020
431;Coquimbo Unido;23;24;2020
432;U. Catolica;48;25;2020
433;Union Espanola;47;25;2020
434;Union La Calera;46;25;2020
435;Antofagasta;39;25;2020
436;Universidad de Chile;37;25;2020
437;Curico Unido;37;25;2020
438;Palestino;35;25;2020
439;Huachipato;34;25;2020
440;O'Higgins;34;25;2020
441;Cobresal;31;25;2020
442;D. La Serena;31;25;2020
443;Deportes Iquique;31;25;2020
444;Everton de Vina;31;25;2020
445;Universidad de Concepcion;30;25;2020
446;Santiago Wanderers;30;25;2020
447;A. Italiano;28;25;2020
448;Colo Colo;25;25;2020
449;Coquimbo Unido;23;25;2020
450;U. Catolica;49;26;2020
451;Union Espanola;48;26;2020
452;Union La Calera;46;26;2020
453;Antofagasta;40;26;2020
454;Palestino;38;26;2020
455;Universidad de Chile;37;26;2020
456;Curico Unido;37;26;2020
457;Huachipato;34;26;2020
458;Cobresal;34;26;2020
459;D. La Serena;34;26;2020
460;O'Higgins;34;26;2020
461;Santiago Wanderers;33;26;2020
462;Everton de Vina;32;26;2020
463;Universidad de Concepcion;31;26;2020
464;Deportes Iquique;31;26;2020
465;A. Italiano;29;26;2020
466;Colo Colo;28;26;2020
467;Coquimbo Unido;26;26;2020
468;U. Catolica;52;27;2020
469;Union La Calera;49;27;2020
470;Union Espanola;49;27;2020
471;Palestino;41;27;2020
472;Universidad de Chile;40;27;2020
473;Antofagasta;40;27;2020
474;Cobresal;37;27;2020
475;Curico Unido;37;27;2020
476;D. La Serena;35;27;2020
477;Everton de Vina;35;27;2020
478;O'Higgins;35;27;2020
479;Huachipato;34;27;2020
480;Santiago Wanderers;33;27;2020
481;Universidad de Concepcion;31;27;2020
482;Deportes Iquique;31;27;2020
483;Colo Colo;31;27;2020
484;A. Italiano;30;27;2020
485;Coquimbo Unido;26;27;2020
486;U. Catolica;55;28;2020
487;Union La Calera;49;28;2020
488;Union Espanola;49;28;2020
489;Palestino;42;28;2020
490;Universidad de Chile;40;28;2020
491;Curico Unido;40;28;2020
492;Antofagasta;40;28;2020
493;O'Higgins;38;28;2020
494;Huachipato;37;28;2020
495;Cobresal;37;28;2020
496;D. La Serena;36;28;2020
497;Everton de Vina;36;28;2020
498;Santiago Wanderers;36;28;2020
499;A. Italiano;33;28;2020
500;Universidad de Concepcion;32;28;2020
501;Deportes Iquique;31;28;2020
502;Colo Colo;31;28;2020
503;Coquimbo Unido;29;28;2020
504;U. Catolica;56;29;2020
505;Union Espanola;50;29;2020
506;Union La Calera;49;29;2020
507;Universidad de Chile;43;29;2020
508;Palestino;43;29;2020
509;Curico Unido;41;29;2020
510;Antofagasta;41;29;2020
511;Santiago Wanderers;39;29;2020
512;O'Higgins;39;29;2020
513;Huachipato;37;29;2020
514;Cobresal;37;29;2020
515;D. La Serena;37;29;2020
516;A. Italiano;36;29;2020
517;Everton de Vina;36;29;2020
518;Universidad de Concepcion;35;29;2020
519;Colo Colo;34;29;2020
520;Deportes Iquique;32;29;2020
521;Coquimbo Unido;29;29;2020
522;U. Catolica;57;30;2020
523;Union La Calera;52;30;2020
524;Union Espanola;51;30;2020
525;Universidad de Chile;44;30;2020
526;Palestino;44;30;2020
527;O'Higgins;42;30;2020
528;Curico Unido;41;30;2020
529;Antofagasta;41;30;2020
530;Huachipato;40;30;2020
531;Cobresal;40;30;2020
532;Everton de Vina;39;30;2020
533;Santiago Wanderers;39;30;2020
534;D. La Serena;37;30;2020
535;A. Italiano;36;30;2020
536;Universidad de Concepcion;36;30;2020
537;Colo Colo;35;30;2020
538;Deportes Iquique;33;30;2020
539;Coquimbo Unido;30;30;2020
540;U. Catolica;58;31;2020
541;Union La Calera;55;31;2020
542;Union Espanola;51;31;2020
543;Palestino;47;31;2020
544;Universidad de Chile;45;31;2020
545;Antofagasta;44;31;2020
546;Huachipato;43;31;2020
547;O'Higgins;43;31;2020
548;Curico Unido;42;31;2020
549;Cobresal;40;31;2020
550;Everton de Vina;40;31;2020
551;Santiago Wanderers;40;31;2020
552;D. La Serena;38;31;2020
553;Universidad de Concepcion;37;31;2020
554;Colo Colo;36;31;2020
555;A. Italiano;36;31;2020
556;Deportes Iquique;33;31;2020
557;Coquimbo Unido;31;31;2020
558;U. Catolica;61;32;2020
559;Union La Calera;56;32;2020
560;Union Espanola;51;32;2020
561;Palestino;50;32;2020
562;Universidad de Chile;48;32;2020
563;Antofagasta;45;32;2020
564;O'Higgins;44;32;2020
565;Huachipato;43;32;2020
566;Cobresal;43;32;2020
567;Santiago Wanderers;43;32;2020
568;Curico Unido;42;32;2020
569;Universidad de Concepcion;40;32;2020
570;Everton de Vina;40;32;2020
571;D. La Serena;38;32;2020
572;Colo Colo;37;32;2020
573;A. Italiano;37;32;2020
574;Deportes Iquique;34;32;2020
575;Coquimbo Unido;31;32;2020
576;U. Catolica;62;33;2020
577;Union La Calera;57;33;2020
578;Union Espanola;52;33;2020
579;Palestino;50;33;2020
580;Universidad de Chile;49;33;2020
581;Antofagasta;48;33;2020
582;Huachipato;46;33;2020
583;Cobresal;44;33;2020
584;Santiago Wanderers;44;33;2020
585;O'Higgins;44;33;2020
586;Curico Unido;43;33;2020
587;Universidad de Concepcion;41;33;2020
588;Everton de Vina;40;33;2020
589;D. La Serena;39;33;2020
590;Colo Colo;38;33;2020
591;A. Italiano;38;33;2020
592;Deportes Iquique;35;33;2020
593;Coquimbo Unido;34;33;2020
594;U. Catolica;65;34;2020
595;Union La Calera;57;34;2020
596;Universidad de Chile;52;34;2020
597;Union Espanola;52;34;2020
598;Palestino;51;34;2020
599;Antofagasta;48;34;2020
600;Cobresal;47;34;2020
601;Huachipato;46;34;2020
602;Curico Unido;46;34;2020
603;O'Higgins;45;34;2020
604;Santiago Wanderers;44;34;2020
605;Everton de Vina;43;34;2020
606;A. Italiano;41;34;2020
607;Universidad de Concepcion;41;34;2020
608;D. La Serena;39;34;2020
609;Colo Colo;39;34;2020
610;Deportes Iquique;38;34;2020
611;Coquimbo Unido;35;34;2020
612;A. Italiano;3;1;2021
613;Antofagasta;3;1;2021
614;Curico Unido;3;1;2021
615;U. Catolica;3;1;2021
616;Union Espanola;3;1;2021
617;Cobresal;1;1;2021
618;Colo Colo;1;1;2021
619;Everton de Vina;1;1;2021
620;Huachipato;1;1;2021
621;O'Higgins;1;1;2021
622;Union La Calera;1;1;2021
623;D. La Serena;0;1;2021
624;D. Melipilla;0;1;2021
625;Nublense;0;1;2021
626;Palestino;0;1;2021
627;Santiago Wanderers;0;1;2021
628;U. Catolica;6;2;2021
629;A. Italiano;4;2;2021
630;Union La Calera;4;2;2021
631;Colo Colo;4;2;2021
632;Everton de Vina;4;2;2021
633;Curico Unido;3;2;2021
634;D. La Serena;3;2;2021
635;Union Espanola;3;2;2021
636;Antofagasta;3;2;2021
637;O'Higgins;2;2;2021
638;Huachipato;2;2;2021
639;Nublense;1;2;2021
640;D. Melipilla;1;2;2021
641;Cobresal;1;2;2021
642;Universidad de Chile;1;2;2021
643;Palestino;0;2;2021
644;Santiago Wanderers;0;2;2021
645;A. Italiano;7;3;2021
646;Union La Calera;7;3;2021
647;U. Catolica;6;3;2021
648;Everton de Vina;5;3;2021
649;O'Higgins;5;3;2021
650;Colo Colo;4;3;2021
651;Curico Unido;4;3;2021
652;D. La Serena;4;3;2021
653;D. Melipilla;4;3;2021
654;Antofagasta;4;3;2021
655;Nublense;4;3;2021
656;Union Espanola;3;3;2021
657;Huachipato;2;3;2021
658;Universidad de Chile;2;3;2021
659;Palestino;1;3;2021
660;Cobresal;1;3;2021
661;Santiago Wanderers;0;3;2021
662;U. Catolica;9;4;2021
663;A. Italiano;8;4;2021
664;Union La Calera;8;4;2021
665;Colo Colo;7;4;2021
666;O'Higgins;6;4;2021
667;Everton de Vina;5;4;2021
668;Huachipato;5;4;2021
669;D. La Serena;5;4;2021
670;Universidad de Chile;5;4;2021
671;D. Melipilla;4;4;2021
672;Antofagasta;4;4;2021
673;Nublense;4;4;2021
674;Palestino;4;4;2021
675;Curico Unido;4;4;2021
