Unnamed: 0;season;league;team;id_player;id_name;first_name;last_name;age;height;weight;appearence;lineup;minutes;position;rating;shots_total;shots_on;goles;goles_conceded;goles_assists;goles_saves;passes_total;passes_key;passes_accuracy;tackles_total;tackles_blocks;tackles_interceptions;duels_total;duels_wom;dribbles_total;dribbles_success;fouls_drawn;fouls_committed;card_yellow;card_red;penalty_won;penalty_commited;penalty_scored;penalty_missed;penalty_saved;name;Periodo;shot_on_app;goles_assistes_app;goles_app;goles_saves_app;passes_key_app;tackles_blocks_app;tackles_interceptions_app;fouls_committed_app;card_yellow_app;card_red_app;penalty_won_app;penalty_commited_app;penalty_scored_app;penalty_missed_app;penalty_saved_app;duels_wom_app;dribbles_success_app;lineup_app;goles_conceded_app;age_n;height_r;passes_accuracy_r;rank;total_line_up;total_line_up_per
262;2021;265;2325;11638;B. Berríos;Benjamín Rodrigo;Berríos Reyes;24.0;168.0;67.0;20.0;20.0;1625.0;Midfielder;6.805555;8.0;2.0;1.0;0.0;1.0;0.0;789.0;12.0;34.0;23.0;11.0;21.0;140.0;72.0;13.0;11.0;21.0;25.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.06;0.05;0.060869565217391314;0.0;0.1935483870967742;0.1375;0.13125;0.20833333333333331;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.21492537313432836;0.165;1.0;0.0;0.4285714285714286;0.8571428571428571;0.34;15.982044614921229;33;0.6060606060606061
263;2021;265;2325;12090;Fernando Antonio Saavedra Valencia;Fernando Antonio;Saavedra Valencia;36.0;0.0;0.0;1.0;0.0;17.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;33;0.030303030303030304
264;2021;265;2325;330232;R. Díaz;Rodrigo Vicente;Díaz Desidel;20.0;170.0;67.0;1.0;0.0;2.0;Midfielder;6.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5238095238095238;0.8673469387755102;0.01;0.0;33;0.030303030303030304
265;2021;265;2325;345605;E. Arismendi;Emmanuel Andrés;Arismendi Álvarez;21.0;168.0;76.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.8571428571428571;0.0;0.0;33;0.0
270;2021;265;2325;11366;C. Lobos;Carlos Alberto;Lobos Ubilla;25.0;0.0;0.0;0.0;0.0;0.0;Midfielder;6.9;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;6.0;2.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40476190476190477;0.0;0.06;0.0;33;0.0
272;2021;265;2325;11646;S. Pereira;Sebastián Rodrigo;Pereira Abarca;25.0;0.0;0.0;12.0;11.0;1015.0;Midfielder;7.163636;10.0;9.0;4.0;0.0;0.0;0.0;326.0;1.0;23.0;10.0;7.0;29.0;80.0;38.0;3.0;2.0;6.0;12.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;Everton de Vina;2021;0.44999999999999996;0.0;0.4057971014492754;0.0;0.026881720430107524;0.14583333333333334;0.3020833333333333;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.1890547263681592;0.049999999999999996;0.9166666666666666;0.0;0.40476190476190477;0.0;0.23;20.711033658919405;33;0.36363636363636365
275;2021;265;2326;288685;J. Aravena;Joaquín Tomas;Aravena Riquelme;22.0;0.0;0.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4761904761904763;0.0;0.0;0.0;33;0.0
276;2021;265;2326;288687;F. Peñaloza;Fabian Alberto;Peñaloza Rojas;20.0;0.0;0.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5238095238095238;0.0;0.0;0.0;33;0.0
277;2021;265;2326;195799;Giovanni Alexander Davis Henríquez;Giovanni Alexander;Davis Henríquez;22.0;0.0;0.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4761904761904763;0.0;0.0;0.0;33;0.0
279;2021;265;2326;11430;J. Valdivia;Jorge Luís;Valdivia Toro;39.0;173.0;71.0;6.0;3.0;232.0;Midfielder;6.716666;5.0;3.0;1.0;0.0;0.0;0.0;122.0;4.0;16.0;2.0;1.0;0.0;25.0;16.0;5.0;4.0;8.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;Union La Calera;2021;0.3;0.0;0.2028985507246377;0.0;0.2150537634408602;0.041666666666666664;0.0;0.1388888888888889;0.0;0.0;0.0;0.0;0.41666666666666663;0.0;0.0;0.15920398009950248;0.19999999999999998;0.5;0.0;0.07142857142857151;0.8826530612244898;0.16;23.866237196312625;33;0.18181818181818182
280;2021;265;2326;11856;Matías Ignacio Fernández Cordero;Matías Ignacio;Fernández Cordero;27.0;0.0;0.0;27.0;23.0;1926.0;Midfielder;6.683333;4.0;0.0;0.0;0.0;3.0;0.0;724.0;23.0;22.0;20.0;3.0;20.0;96.0;45.0;14.0;3.0;10.0;9.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.1111111111111111;0.0;0.0;0.2747909199522103;0.027777777777777776;0.09259259259259259;0.05555555555555555;0.04938271604938271;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.09950248756218906;0.03333333333333333;0.8518518518518519;0.0;0.3571428571428572;0.0;0.22;21.141693571172127;33;0.8181818181818182
283;2021;265;2326;119135;G. Iturra;Gustavo Javier;Iturra Matus;23.0;167.0;57.0;1.0;0.0;12.0;Midfielder;6.466666;0.0;0.0;0.0;0.0;1.0;0.0;61.0;2.0;6.0;3.0;0.0;3.0;25.0;11.0;4.0;1.0;6.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;1.0;0.0;0.0;0.6451612903225806;0.0;0.375;1.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.6567164179104478;0.3;0.0;0.0;0.45238095238095244;0.8520408163265306;0.06;90.13037785604959;33;0.030303030303030304
284;2021;265;2326;11392;M. Laba;Matías Alejandro;Laba;31.0;174.0;70.0;27.0;25.0;2182.0;Midfielder;6.970833;7.0;3.0;0.0;0.0;0.0;0.0;1087.0;6.0;38.0;68.0;7.0;50.0;239.0;124.0;12.0;7.0;21.0;38.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.06666666666666667;0.0;0.0;0.0;0.07168458781362007;0.06481481481481481;0.23148148148148148;0.2345679012345679;0.24691358024691357;0.0;0.0;0.0;0.0;0.0;0.0;0.2741846323935876;0.07777777777777777;0.9259259259259259;0.0;0.261904761904762;0.8877551020408163;0.38;6.118654845303933;33;0.8181818181818182
285;2021;265;2326;295465;B. Liuzzi;Bruno Enzo;Liuzzi;22.0;0.0;0.0;8.0;6.0;460.0;Midfielder;6.942857;4.0;3.0;1.0;0.0;0.0;0.0;160.0;6.0;17.0;17.0;3.0;6.0;56.0;28.0;6.0;5.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.22499999999999998;0.0;0.15217391304347827;0.0;0.24193548387096775;0.09375;0.09375;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208955223880597;0.1875;0.75;0.0;0.4761904761904763;0.0;0.17;22.317833674491805;33;0.24242424242424243
288;2021;265;2326;11516;A. Martínez;Ariel Elías;Martínez Arce;28.0;176.0;69.0;20.0;9.0;882.0;Midfielder;6.533333;8.0;2.0;1.0;0.0;2.0;0.0;319.0;7.0;14.0;19.0;2.0;2.0;95.0;38.0;15.0;8.0;6.0;18.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.06;0.1;0.060869565217391314;0.0;0.1129032258064516;0.025;0.0125;0.15;0.16666666666666666;0.1;0.0;0.0;0.0;0.0;0.0;0.11343283582089551;0.12;0.45;0.0;0.33333333333333337;0.8979591836734694;0.14;14.303145419563442;33;0.6060606060606061
292;2021;265;2326;11456;Felipe Ignacio Seymour Dobud;Felipe Ignacio;Seymour Dobud;35.0;174.0;71.0;0.0;0.0;0.0;Midfielder;6.722727;5.0;2.0;0.0;0.0;1.0;0.0;851.0;6.0;33.0;43.0;4.0;30.0;163.0;89.0;22.0;16.0;15.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666674;0.8877551020408163;0.33;0.0;33;0.0
302;2021;265;2326;11402;E. Valencia;Esteban Cristóbal;Valencia Reyes;23.0;176.0;73.0;23.0;15.0;1502.0;Midfielder;6.695238;8.0;4.0;1.0;0.0;1.0;0.0;377.0;13.0;12.0;25.0;4.0;29.0;146.0;67.0;30.0;12.0;7.0;13.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.10434782608695652;0.043478260869565216;0.052930056710775046;0.0;0.18232819074333798;0.043478260869565216;0.15760869565217392;0.09420289855072463;0.05797101449275362;0.0;0.0;0.0;0.0;0.0;0.0;0.17391304347826086;0.15652173913043477;0.6521739130434783;0.0;0.45238095238095244;0.8979591836734694;0.12;16.380817834209015;33;0.696969696969697
